year,n,n_events,observed_hazard,predicted_hazard,ratio_obs_over_pred
2005,255751,72,0.0002815238259087941,0.0004862620343792465,0.5789549790128741
2006,801416,230,0.00028699202411731233,0.0005329477939944853,0.538499318978853
2007,1307289,823,0.0006295471009088274,0.0007738442005114081,0.8135321043858446
2008,1767403,2591,0.001465992758867106,0.0014623348921632663,1.0025013878308193
2009,2028747,6445,0.003176837722988623,0.0025657833710623734,1.2381550830899803
2010,2188263,5338,0.002439377716481063,0.002321363734625202,1.0508382120800706
2011,2063780,3757,0.0018204459777689482,0.0022652778227003215,0.8036303359907033
2012,1608115,2783,0.0017305976251698416,0.0019665639024964874,0.880010877334271
2013,1119022,1648,0.0014727145668271043,0.0015503407470059542,0.9499296007482465
2014,1142069,1034,0.0009053743687990831,0.0009670495256632563,0.9362233730254167
2015,1532190,820,0.0005351816680698869,0.0006021870846237347,0.8887299009481167
2016,1889678,743,0.00039318868082287035,0.0004882844231037996,0.8052451854260488
2017,1956922,1126,0.0005753933984083168,0.00045092962062131934,1.276015972549116
2018,2002022,727,0.00036313287266573493,0.00042378153721829326,0.8568869589018511
2019,2389124,785,0.00032857231353416566,0.00036602420308863944,0.8976791992484603
2020,2436582,8698,0.003569754680942402,0.04161791730057398,0.08577446716424633
2021,2192764,1546,0.0007050462338856348,0.00027048214115648435,2.606627671871831
2022,2340541,953,0.0004071708207632338,0.00023620084547969626,1.7238330368221906
2023,2749185,1231,0.0004477690661050457,0.00029711587189558457,1.507051990350772
2024,3158151,1757,0.0005563381864894997,0.00034815261167812364,1.5979721760750403
2025,2593551,1486,0.0005729596217695353,0.0003767621521980854,1.5207462278968449
