,naive,additive,exclude
"C(channel, Treatment(reference='R'))[T.B]",0.26427202112816905,0.17450205155809645,0.17975188283383914
"C(channel, Treatment(reference='R'))[T.C]",0.262270802052909,0.07974024957727226,-0.16525011076228452
"C(channel, Treatment(reference='R'))[T.T]",0.21317731667015993,0.37509128585463614,0.33006444652309413
"C(loan_purpose, Treatment(reference='P'))[T.C]",0.1929740478253692,0.34534626995736134,0.439633028016104
"C(loan_purpose, Treatment(reference='P'))[T.N]",0.036451113756348845,0.14472205321784462,0.2522821779162127
"C(occupancy_status, Treatment(reference='P'))[T.I]",0.05031215512795878,0.08564325171086778,0.046564490233914096
"C(occupancy_status, Treatment(reference='P'))[T.S]",-0.25311993375277686,-0.17591397335519743,-0.17795082901332474
Intercept,-3.4652017402153965,-3.8554163121076797,-3.5750340484778413
covid_regime,,1.4818130294190677,
"cr(loan_age, df=5)[0]",-1.3947494782110177,-1.1898823683260649,-1.6952610232068284
"cr(loan_age, df=5)[1]",-0.49574815794263605,-0.1212879622360427,-0.3743085971182449
"cr(loan_age, df=5)[2]",-0.5896023754035171,-0.3027345797726099,-0.5057839992474213
"cr(loan_age, df=5)[3]",0.42497782463696615,0.37868525696178285,0.41726302784090047
"cr(loan_age, df=5)[4]",-1.410079553295191,-2.6201966587347476,-1.4169434567462498
delta_uer_lag1,-0.20398379519335774,-0.1303327223171192,0.7741879761695941
dti_s,0.2495348995611509,0.2579698720739913,0.2341257807911654
fico_s,-0.9235453849762528,-0.9718108788005059,-0.9402406073270922
hpi_growth_lag1,0.013406264462695426,-6.584222807518517,-3.3068606615137384
ltv10,0.22268478877149384,0.28517587744888384,0.3181764829908201
uer_lag1,0.2172594126806231,0.16237700937568314,0.10842349238596757
