term,coef_seed_a,coef_seed_b,abs_diff,rel_diff
Intercept,-3.604265652756619,-3.541345712915507,0.062919939841112,0.017457076115626906
"C(occupancy_status, Treatment(reference='P'))[T.I]",0.09429517569319402,0.10705749376421103,0.012762318071017006,0.13534433736611784
"C(occupancy_status, Treatment(reference='P'))[T.S]",-0.19258213502061478,-0.16745924113134827,0.0251228938892665,0.13045287864617994
"C(loan_purpose, Treatment(reference='P'))[T.C]",0.4379469145872445,0.43169757251820895,0.006249342069035546,0.014269633740713565
"C(loan_purpose, Treatment(reference='P'))[T.N]",0.2703863426488169,0.26131589549000994,0.009070447158806949,0.0335462474544723
"C(channel, Treatment(reference='R'))[T.B]",0.19856995593853016,0.23823017021465862,0.03966021427612845,0.19972917901238682
"C(channel, Treatment(reference='R'))[T.C]",-0.23405773963536755,-0.21600767299249302,0.018050066642874535,0.07711800802226948
"C(channel, Treatment(reference='R'))[T.T]",0.30717311722319735,0.2961468792660931,0.011026237957104223,0.03589584289400028
"cr(loan_age, df=5)[0]",-1.9171322869452103,-1.9180350897576914,0.0009028028124811183,0.0004709131543132367
"cr(loan_age, df=5)[1]",-0.3427577505244131,-0.35510342664599515,0.01234567612158205,0.03601866362669667
"cr(loan_age, df=5)[2]",-0.5917073932081021,-0.5805002460734072,0.01120714713469484,0.01894035339651961
"cr(loan_age, df=5)[3]",0.04491713888892335,0.06674509403631958,0.02182795514739623,0.485960497202974
"cr(loan_age, df=5)[4]",-0.7975853609678181,-0.7544520444747284,0.04313331649308971,0.05407987483715879
fico_s,-0.9256960299087966,-0.9333779596780503,0.007681929769253637,0.00829854457732793
dti_s,0.2312888792744636,0.23098101718447508,0.0003078620899885087,0.0013310717357196322
ltv10,0.3225060594897164,0.3228892140234275,0.0003831545337111275,0.0011880537510438466
uer_lag1,0.09496308546677008,0.09454906696228699,0.0004140185044830963,0.0043597836195831225
delta_uer_lag1,0.6670829947667035,0.7951411365355653,0.12805814176886177,0.19196733056228943
hpi_growth_lag1,-3.344206191188119,-2.5140075896478202,0.8301986015402987,0.24824982494436096
