term,coef,std_err,z,p_value,ci_low,ci_high,exp_coef
Intercept,4.281869391737713,0.4589398113373416,9.329914916861167,1.0595592897988205e-20,3.3823638904449163,5.18137489303051,72.37561199433702
C(era)[T.modern 2018-2025],0.14983522398937194,0.706208995959615,0.2121683876113359,0.8319756683217656,-1.234308973649666,1.5339794216284097,1.1616428160884473
"C(era)[T.recovery 2009-10, 14-16]",0.8033559824885942,0.04063944111796475,19.76788952772948,5.628155578933261e-87,0.7237041415455471,0.8830078234316413,2.2330223516169356
C(property_state)[T.AL],-0.6135911256423565,0.4404310187529457,-1.3931605620778105,0.16357124268279644,-1.4768200600724153,0.24963780878770225,0.5414031272218282
C(property_state)[T.AR],-0.6489900835859145,0.45465107744968847,-1.427446487592964,0.1534512392719011,-1.5400898209196345,0.2421096537478057,0.5225732656748937
C(property_state)[T.AZ],-0.538490857181425,0.4298176588373397,-1.252835582972666,0.21026554902262407,-1.3809179884219347,0.30393627405908485,0.583628366656132
C(property_state)[T.CA],0.20489496179861796,0.4265394113295147,0.48036583808273314,0.6309672811998756,-0.6311069223941467,1.0408968459913825,1.227396134709622
C(property_state)[T.CO],-0.1341702040117573,0.43893178880994616,-0.3056743836565729,0.7598525792060249,-0.9944607017489928,0.7261202937254783,0.8744412185331539
C(property_state)[T.CT],-0.17867526178064158,0.4409041290553305,-0.40524742229896205,0.6852956499517731,-1.0428314753640893,0.6854809518028062,0.8363774590285099
C(property_state)[T.DC],0.1025106533619874,0.5407836034445971,0.1895594702003378,0.8496543493785476,-0.9574057328192137,1.1624270395431886,1.1079491052298136
C(property_state)[T.DE],0.12060769453071604,0.4781260291587949,0.252250844286622,0.8008471803125876,-0.8165021026916696,1.0577174917531016,1.128182233479804
C(property_state)[T.FL],-0.12695343042456772,0.42634127908731523,-0.2977741932386695,0.7658755123456499,-0.9625669825584453,0.7086601217093098,0.8807746889454082
C(property_state)[T.GA],-0.3549129652129741,0.42925686903893584,-0.8268078877982536,0.40834595855563394,-1.196240968645715,0.4864150382197667,0.7012344723456607
C(property_state)[T.GU],21.207929182471467,12631.200415888356,0.00167901137533965,0.9986603433756371,-24735.48996746606,24777.905825831,1623628315.088023
C(property_state)[T.HI],-0.03986525449688978,0.4803463258564175,-0.08299273326555241,0.9338573176952178,-0.9813267532816091,0.9015962442878295,0.9609189099312915
C(property_state)[T.IA],-0.5289872160392,0.45879489550502794,-1.1529928105606022,0.24891333543524674,-1.4282086875198723,0.37023425544147237,0.5892014013281154
C(property_state)[T.ID],-0.49549079003650104,0.4493429775191647,-1.1027006425517536,0.270157187660115,-1.376186842680055,0.38520526260705296,0.6092718093716118
C(property_state)[T.IL],-0.5353782929951734,0.42809940567626775,-1.2505934040002633,0.21108285832561424,-1.3744377099236602,0.30368112393331337,0.5854477774558348
C(property_state)[T.IN],-0.385776328459306,0.4351797231649035,-0.8864758809387886,0.37536114546735955,-1.238712912664628,0.46716025574601594,0.6799225880064917
C(property_state)[T.KS],-0.801752852525013,0.45712727779093637,-1.7538941373165846,0.07944864835881359,-1.697705853346085,0.09420014829605872,0.4485420465845824
C(property_state)[T.KY],-0.4284223613566694,0.4446173838709139,-0.9635753726648115,0.3352588587993903,-1.2998564206440806,0.44301169793074174,0.6515361729751317
C(property_state)[T.LA],0.20063414502478646,0.4440620607585231,0.4518155518219096,0.6514018651525404,-0.669711500962556,1.070979791012129,1.2221775502818375
C(property_state)[T.MA],0.28210140953413915,0.4352146847839949,0.6481890878157094,0.516862658856374,-0.5709036981854432,1.1351065172537214,1.3259131734064715
C(property_state)[T.MD],-0.05961856727423596,0.43226489264423407,-0.1379213724934717,0.8903025590240281,-0.9068421886380077,0.7876050540895357,0.9421238219151292
C(property_state)[T.ME],-0.29652509743483607,0.4668790560264515,-0.6351218663748244,0.5253489368110393,-1.2115912323827391,0.6185410375130669,0.7433969696729729
C(property_state)[T.MI],-0.733668345519757,0.42974620999081997,-1.7072130677672044,0.08778245701084951,-1.5759554395943514,0.10861874855483733,0.48014441991081286
C(property_state)[T.MN],-0.5234758307068157,0.4337578971385202,-1.2068387322978102,0.22749425646877663,-1.3736256871081447,0.3266740256945133,0.5924576823564071
C(property_state)[T.MO],-0.769039350481103,0.4342133666334903,-1.7711093429563436,0.07654252065858883,-1.62008191068863,0.08200320972642405,0.4634580753061993
C(property_state)[T.MS],-0.317028706577162,0.45717177326698716,-0.693456431729476,0.48802315847541233,-1.2130689169287683,0.5790115037744443,0.7283098475427743
C(property_state)[T.MT],-0.08041106201538606,0.49859152114175626,-0.16127643292298208,0.8718756840706459,-1.0576324864502693,0.8968103624194971,0.9227369663005677
C(property_state)[T.NC],-0.21183331492330634,0.4318057359645598,-0.4905755002307159,0.6237267180697471,-1.0581570057316554,0.6344903758850428,0.8090995511478837
C(property_state)[T.ND],1.3239199241490618,0.7656053019322254,1.729246023777224,0.0837650724566948,-0.17663889401101396,2.8244787423091378,3.758124103076095
C(property_state)[T.NE],-0.5707527436351556,0.4943216384074387,-1.154618166167995,0.24824682417273292,-1.539605351692567,0.39809986442225576,0.5650999032046983
C(property_state)[T.NH],-0.17884273690050706,0.45516016427588035,-0.3929226477563784,0.6943766136460748,-1.0709402660785672,0.713254792277553,0.8362373983419739
C(property_state)[T.NJ],-0.042403236221547236,0.4307343719363849,-0.09844405040378287,0.9215796973657512,-0.8866270921203419,0.8018206196772475,0.9584832074905831
