liq_year,n,mean_severity,median_severity,mean_severity_capped,share_gt_cap,share_lt_0
2006,10,0.10219649970531464,-0.0026570428162813187,0.10781027376651764,0.0,0.6
2007,60,0.1774044930934906,0.08247210085391998,0.17718161642551422,0.016666666666666666,0.2
2008,201,0.3534643352031708,0.32234615087509155,0.35241517424583435,0.029850746268656716,0.06965174129353234
2009,761,0.4562656283378601,0.4360365569591522,0.4528391659259796,0.026281208935611037,0.026281208935611037
2010,1588,0.49898761510849,0.5021273493766785,0.49564236402511597,0.04345088161209068,0.020151133501259445
2011,2195,0.5410106182098389,0.535994827747345,0.5354698896408081,0.05148063781321185,0.009567198177676537
2012,2317,0.5285012125968933,0.510671079158783,0.520922839641571,0.06042296072507553,0.010358221838584376
2013,1734,0.5082525610923767,0.47667330503463745,0.49577978253364563,0.08304498269896193,0.021337946943483274
2014,1347,0.5805233716964722,0.5647997856140137,0.557341992855072,0.11804008908685969,0.016332590942835932
2015,1055,0.5869916081428528,0.5463175177574158,0.5571783185005188,0.13270142180094788,0.015165876777251185
2016,795,0.6130173206329346,0.5801098942756653,0.5768027901649475,0.15220125786163521,0.01509433962264151
2017,433,0.5048380494117737,0.46397560834884644,0.47828131914138794,0.11316397228637413,0.02771362586605081
2018,316,0.47685426473617554,0.405261754989624,0.4566437005996704,0.10126582278481013,0.03164556962025317
2019,252,0.44445452094078064,0.36543983221054077,0.4289048910140991,0.10714285714285714,0.051587301587301584
2020,219,0.3921312391757965,0.26306208968162537,0.36986231803894043,0.1050228310502283,0.0684931506849315
2021,156,0.20134329795837402,0.09550203382968903,0.21072417497634888,0.01282051282051282,0.14102564102564102
2022,71,0.392089307308197,0.0861971452832222,0.2583523094654083,0.08450704225352113,0.056338028169014086
2023,136,0.3392583131790161,0.19574913382530212,0.3167780041694641,0.09558823529411764,0.058823529411764705
2024,111,0.2991178631782532,0.11747342348098755,0.2574279010295868,0.07207207207207207,0.07207207207207207
2025,83,0.2637033462524414,0.15247870981693268,0.23714269697666168,0.03614457831325301,0.0963855421686747
