term,coef,std_err,z,p_value,ci_low,ci_high,exp_coef
Intercept,-1.8371894911830253,0.1809102543955742,-10.155253483674114,3.1399316071767772e-24,-2.1917670742323296,-1.482611908133721,0.15926441171755656
C(liq_year_bucket)[T.2008-09 crash],1.3516798923035434,0.18029781371333514,7.496928911476705,6.533038643463491e-14,0.9983026709340945,1.7050571136729922,3.8639110361076003
C(liq_year_bucket)[T.2010-12 peak workout],1.7275458068010583,0.1774795649096397,9.733773055397139,2.1641347850815616e-22,1.3796922515863257,2.0753993620157907,5.626827627091198
C(liq_year_bucket)[T.2013-16 recovery],1.6982897465656586,0.17777320277947684,9.553125668058891,1.258411040778202e-21,1.3498606717015482,2.046718821429769,5.46459355539642
C(liq_year_bucket)[T.2017-19 calm],1.3791756611777968,0.1816301584628393,7.593318603308766,3.1181459342547975e-14,1.023187092084329,1.7351642302712647,3.9716263119391235
C(liq_year_bucket)[T.2020+ covid-modern],0.8750654214894311,0.19268037895193058,4.541538823253718,5.5845099110580045e-06,0.4974188182161177,1.2527120247627446,2.3990322370954593
is_judicial[T.True],0.5199224021555284,0.020714757326827284,25.09913072851628,5.083197847671437e-139,0.4793222238464597,0.5605225804645971,1.6818971330428991
C(disposition_type)[T.short_sale_or_charge_off],-0.719989245784884,0.023588207354531463,-30.523271012647296,1.280142128115268e-204,-0.7662212826596285,-0.6737572089101395,0.48675749062658774
C(disposition_type)[T.third_party_sale],-0.3981614217741396,0.02899303308353774,-13.733003395226554,6.440722577538726e-43,-0.45498672242045185,-0.34133612112782735,0.6715536155361567
C(disposition_type)[T.whole_loan_sale],-0.34765850623259914,0.04706082113436963,-7.387429667662469,1.4969426625613142e-13,-0.43989602073884504,-0.25542099172635324,0.7063400457563844
ltv10,0.030674066508064167,0.004900812115913676,6.258976223238766,3.8751294219512373e-10,0.021068651265875826,0.040279481750252505,1.0311493629971225
