default_year,n,unresolved_rate,cure_rate,liquidation_rate
2005,72,0.1111111111111111,0.6527777777777778,0.2361111111111111
2006,230,0.06086956521739131,0.5130434782608696,0.4260869565217391
2007,823,0.08140947752126367,0.33657351154313486,0.5820170109356014
2008,2591,0.07873407950598224,0.2551138556541876,0.6661520648398301
2009,6445,0.05973622963537626,0.38355314197051976,0.5567106283941039
2010,5338,0.040464593480704386,0.424878231547396,0.5346571749718996
2011,3757,0.042587170614852274,0.3832845355336705,0.5741282938514772
2012,2783,0.0265900107797341,0.4351419331656486,0.5382680560546174
2013,1648,0.019417475728155338,0.5309466019417476,0.4496359223300971
2014,1034,0.009671179883945842,0.5676982591876208,0.42263056092843326
2015,820,0.01707317073170732,0.6268292682926829,0.35609756097560974
2016,743,0.012113055181695828,0.6635262449528937,0.3243606998654105
2017,1126,0.014209591474245116,0.8134991119005328,0.17229129662522202
2018,727,0.026134800550206328,0.7565337001375516,0.2173314993122421
2019,785,0.05477707006369427,0.7859872611464969,0.1592356687898089
2020,8698,0.022418946884341227,0.965049436652104,0.012531616463554841
2021,1546,0.04333764553686934,0.9223803363518758,0.03428201811125485
2022,953,0.09653725078698845,0.8467995802728226,0.05666316894018888
2023,1231,0.16653127538586515,0.7952883834281073,0.038180341186027617
2024,1757,0.27148548662492883,0.707455890722823,0.02105862265224815
2025,1486,0.5423956931359354,0.45423956931359355,0.0033647375504710633
