year,n,n_events,observed_hazard,champion_predicted,lstm_predicted
2005,248327,68,0.00027383248700302423,0.0004862620262429118,0.0002006317226914689
2006,778469,223,0.00028645970488227535,0.0005329477717168629,0.00028080938500352204
2007,1274663,806,0.0006323239946558423,0.0007738441927358508,0.0004542760143522173
2008,1724117,2526,0.0014650977862871255,0.0014623349998146296,0.0009922359604388475
2009,1970511,6283,0.0031885130303763846,0.0025657834485173225,0.0022529286798089743
2010,2018282,5155,0.002554152492069988,0.002321363892406225,0.0021072288509458303
2011,1811429,3473,0.0019172708397624195,0.0022652780171483755,0.001724131521768868
2012,1389239,2472,0.001779391451003031,0.0019665639847517014,0.0014457466313615441
2013,946423,1448,0.0015299712707742732,0.0015503406757488847,0.0013265026500448585
2014,950408,897,0.0009438051868250267,0.0009670494473539293,0.000768158701248467
2015,1300503,678,0.0005213367443212357,0.0006021871231496334,0.0004366507928352803
2016,1646755,582,0.0003534223366560296,0.0004882843932136893,0.0003249558503739536
2017,1730924,922,0.0005326634791591081,0.0004509296268224716,0.00026623811572790146
2018,1799497,589,0.00032731368821398426,0.00042378154466859996,0.00023504599812440574
2019,2205182,664,0.00030110893341229886,0.0003660242073237896,0.00021292130986694247
2020,2280631,7926,0.003475353970019701,0.04161791503429413,0.0012348402524366975
2021,2073890,1436,0.0006924185950074498,0.00027048212359659374,0.00016813987167552114
2022,2245318,910,0.00040528780333119854,0.00023620083811692894,0.00012968041119165719
2023,2664099,1205,0.0004523105184904915,0.00029711585375480354,0.00017352010763715953
2024,3081126,1721,0.0005585620321921272,0.00034815259277820587,0.000219235778786242
2025,2541245,1459,0.0005741280356675566,0.00037676215288229287,0.00024027645122259855
