profile,period,loan_age,hazard_default,hazard_prepay,survival,marginal_pd,cum_pd
prime low-LTV,1,0.0,0.009272428054420967,0.040545590125007136,0.9501819818205719,0.009272428054420967,0.009272428054420967
prime low-LTV,2,1.0,0.009515314374414552,0.04192073599566859,0.9013083735429035,0.009041280269926994,0.018313708324347963
prime low-LTV,3,2.0,0.009760878748544366,0.04331907354605535,0.8534669680725229,0.008797561749200013,0.027111270073547977
prime low-LTV,4,3.0,0.010005259371813624,0.04471676213508724,0.8067635302902288,0.008539158380840968,0.03565042845438894
prime low-LTV,5,4.0,0.01024422418362081,0.04608706882174152,0.7613174974794095,0.008264666467462461,0.0439150949218514
prime low-LTV,6,5.0,0.010473185488444336,0.04740047057728858,0.7172572704734617,0.007973419366700108,0.05188851428855151
prime low-LTV,7,6.0,0.010687233474293012,0.04862492294682186,0.6747151950529579,0.0076654959106840165,0.05955401019923553
prime low-LTV,8,7.0,0.010881190666033658,0.04972631550814366,0.6338223897029744,0.007341704682641324,0.06689571488187686
prime low-LTV,9,8.0,0.011049688830282234,0.05066912861354367,0.5947036213410871,0.00700354017988375,0.07389925506176061
prime low-LTV,10,9.0,0.011187269074886652,0.0514172972216258,0.557472459052063,0.006653109431752246,0.08055236449351286
prime low-LTV,11,10.0,0.011288504852912662,0.051935276129046026,0.5222269423974815,0.006293030559374369,0.08684539505288723
prime low-LTV,12,11.0,0.011348146301868867,0.05218928683121349,0.48904598296460744,0.005926307745104265,0.09277170279799149
prime low-LTV,13,12.0,0.011361282861504729,0.052148710095054174,0.4579866760310918,0.005556189744743529,0.09832789254273502
prime low-LTV,14,13.0,0.011323519483869116,0.05178757095171649,0.4290826375018003,0.00518602104939052,0.10351391359212554
prime low-LTV,15,14.0,0.011231160073199575,0.05108604538730965,0.40234340662106344,0.0048190957864133865,0.10833300937853893
prime low-LTV,16,15.0,0.011081390195156082,0.05003190204152086,0.37775487643273026,0.004458524281216349,0.11279153365975528
prime low-LTV,17,16.0,0.010872449723459243,0.0486217795477224,0.3552806412059345,0.004107120901806418,0.11689865456156169
prime low-LTV,18,17.0,0.010603785110994468,0.046862192833956984,0.33486409171412607,0.003767319573444056,0.12066597413500575
prime low-LTV,19,18.0,0.010276170547886987,0.044770161914802875,0.3164310515918136,0.0034411205168176293,0.12410709465182337
