h,period,base,down,up,weighted
1,2015Q2,-1.095306,-1.095306,-1.095306,-1.095306
2,2015Q3,-0.991385,-1.935014,-0.706504,-1.156072
3,2015Q4,-0.837450,-3.156275,-0.279062,-1.277559
4,2016Q1,-0.862668,-2.634794,-0.461581,-1.205428
5,2016Q2,-0.848883,-2.440669,-0.529525,-1.166990
6,2016Q3,-0.853075,-2.227630,-0.604088,-1.134467
7,2016Q4,-0.835108,-1.989006,-0.687607,-1.086707
8,2017Q1,-0.843451,-1.777291,-0.761707,-1.056475
9,2017Q2,-0.857266,-1.523073,-0.850683,-1.022072
10,2017Q3,-0.857271,-0.477935,-1.216481,-0.852239
11,2017Q4,-0.848960,-0.291537,-1.281721,-0.817794
12,2018Q1,-0.848980,-0.294934,-1.280532,-0.818356
13,2018Q2,-0.844854,-0.292587,-1.281353,-0.815912
14,2018Q3,-0.840747,-0.290402,-1.282118,-0.813504
15,2018Q4,-0.862469,-0.336020,-1.270555,-0.832878
16,2019Q1,-0.909015,-0.451393,-1.264955,-0.883595
17,2019Q2,-0.955562,-0.566765,-1.259356,-0.934311
18,2019Q3,-1.002109,-0.682138,-1.253756,-0.985028
19,2019Q4,-1.048656,-0.797510,-1.248156,-1.035745
20,2020Q1,-1.095203,-0.912883,-1.242557,-1.086461
21,2020Q2,-1.141750,-1.028255,-1.236957,-1.137178
22,2020Q3,-1.188297,-1.143628,-1.231357,-1.187895
23,2020Q4,-1.231114,-1.231114,-1.231114,-1.231114
24,2021Q1,-1.231114,-1.231114,-1.231114,-1.231114
25,2021Q2,-1.231114,-1.231114,-1.231114,-1.231114
26,2021Q3,-1.231114,-1.231114,-1.231114,-1.231114
27,2021Q4,-1.231114,-1.231114,-1.231114,-1.231114
28,2022Q1,-1.231114,-1.231114,-1.231114,-1.231114
29,2022Q2,-1.231114,-1.231114,-1.231114,-1.231114
30,2022Q3,-1.231114,-1.231114,-1.231114,-1.231114
31,2022Q4,-1.231114,-1.231114,-1.231114,-1.231114
32,2023Q1,-1.231114,-1.231114,-1.231114,-1.231114
33,2023Q2,-1.231114,-1.231114,-1.231114,-1.231114
34,2023Q3,-1.231114,-1.231114,-1.231114,-1.231114
35,2023Q4,-1.231114,-1.231114,-1.231114,-1.231114
36,2024Q1,-1.231114,-1.231114,-1.231114,-1.231114
37,2024Q2,-1.231114,-1.231114,-1.231114,-1.231114
38,2024Q3,-1.231114,-1.231114,-1.231114,-1.231114
39,2024Q4,-1.231114,-1.231114,-1.231114,-1.231114
40,2025Q1,-1.231114,-1.231114,-1.231114,-1.231114
