time,n_at_risk,defaults,observed,expected_ttc,expected_ttc_oltv,calendar,z_main,z_orig_ltv,pit_pd_flat_anchor,hybrid_pd_alpha05
1,283,3,0.01060071,0.01701426,0.02126664,2000Q2,1.05067609,0.80253677,0.00825230,0.01023874
2,529,5,0.00945180,0.01703656,0.01976835,2000Q3,1.33658745,0.84772040,0.00732040,0.00966064
3,881,14,0.01589103,0.01838821,0.02033644,2000Q4,0.22817404,0.12395999,0.01153769,0.01207314
4,841,25,0.02972652,0.01820071,0.02089682,2001Q1,-1.52037361,-0.84005061,0.02244702,0.01693885
5,809,19,0.02348578,0.01785966,0.02130686,2001Q2,-0.90406887,-0.41665210,0.01788238,0.01506043
6,849,19,0.02237927,0.01850855,0.02223219,2001Q3,-0.67406102,-0.26765456,0.01639469,0.01440678
7,756,25,0.03306878,0.01856314,0.02250233,2001Q4,-1.77755369,-0.89908660,0.02462374,0.01778002
8,675,13,0.01925926,0.01828259,0.02272842,2002Q1,-0.29810482,0.00913747,0.01419114,0.01339094
9,738,22,0.02981030,0.01759084,0.02277575,2002Q2,-1.62038650,-0.70158714,0.02327341,0.01726183
10,714,12,0.01680672,0.01671233,0.02257348,2002Q3,-0.17604587,0.21069721,0.01353290,0.01307472
11,819,23,0.02808303,0.01611042,0.02158410,2002Q4,-1.68370612,-0.69061466,0.02380974,0.01746903
12,1086,26,0.02394107,0.01647978,0.02097219,2003Q1,-1.17294330,-0.47417873,0.01976599,0.01585670
13,1170,20,0.01709402,0.01633324,0.02101544,2003Q2,-0.28200646,0.06548052,0.01410278,0.01334886
14,1237,21,0.01697656,0.01525496,0.02024853,2003Q3,-0.44457734,0.01486684,0.01501729,0.01377911
15,1295,15,0.01158301,0.01380900,0.01891884,2003Q4,0.27927648,0.48084514,0.01130461,0.01195138
16,2011,29,0.01442069,0.01314208,0.01782120,2004Q1,-0.40677433,0.05693525,0.01480021,0.01367801
17,3311,41,0.01238297,0.01155138,0.01586001,2004Q2,-0.34728617,0.09881043,0.01446406,0.01352021
18,5563,69,0.01240338,0.01087928,0.01488042,2004Q3,-0.50292544,-0.00432108,0.01535772,0.01393643
19,7212,50,0.00693289,0.01007588,0.01352433,2004Q4,0.72406292,0.67840228,0.00944297,0.01093584
20,9380,95,0.01012793,0.00968810,0.01349575,2005Q1,-0.28634219,0.13996919,0.01412653,0.01336018
21,11005,109,0.00990459,0.00935222,0.01352782,2005Q2,-0.31875152,0.17583520,0.01430517,0.01344508
22,13255,91,0.00686533,0.01083572,0.01484440,2005Q3,0.92914022,0.83733690,0.00867900,0.01049347
23,14173,117,0.00825513,0.00924334,0.01287299,2005Q4,0.09512848,0.35868285,0.01216418,0.01239520
24,16171,185,0.01144023,0.00960937,0.01296847,2006Q1,-0.60931828,-0.09916842,0.01599555,0.01422726
25,19392,204,0.01051980,0.00984558,0.01292373,2006Q2,-0.34013491,0.01798722,0.01442410,0.01350135
26,19962,259,0.01297465,0.01017491,0.01284941,2006Q3,-0.78501058,-0.29974296,0.01709853,0.01471897
27,21711,340,0.01566026,0.01098967,0.01306883,2006Q4,-1.07724653,-0.55819721,0.01907713,0.01556925
28,23519,410,0.01743271,0.01170516,0.01323626,2007Q1,-1.20010203,-0.70412111,0.01996529,0.01593910
29,24642,549,0.02227904,0.01225436,0.01335932,2007Q2,-1.74656597,-1.07867764,0.02435242,0.01767681
30,25892,706,0.02726711,0.01298438,0.01348943,2007Q3,-2.16375976,-1.39530377,0.02822329,0.01911001
31,25185,874,0.03470320,0.01453409,0.01361465,2007Q4,-2.57164805,-1.79172212,0.03248999,0.02060558
32,24066,999,0.04151085,0.01671181,0.01367673,2008Q1,-2.74289067,-2.10136307,0.03443341,0.02126239
33,22373,933,0.04170205,0.01752678,0.01355512,2008Q2,-2.62945651,-2.12349902,0.03313568,0.02082536
34,20336,844,0.04150275,0.01858896,0.01333325,2008Q3,-2.45593337,-2.14046782,0.03122870,0.02017154
35,19509,852,0.04367215,0.02050290,0.01288588,2008Q4,-2.34527598,-2.28523333,0.03006068,0.01976376
36,18413,884,0.04800956,0.02316062,0.01260748,2009Q1,-2.30265060,-2.49233541,0.02962052,0.01960856
37,17163,871,0.05074870,0.02172876,0.01220761,2009Q2,-2.65671471,-2.64494848,0.03344379,0.02092967
38,15918,698,0.04384973,0.01925830,0.01175692,2009Q3,-2.52933895,-2.43306564,0.03202403,0.02044597
39,14848,499,0.03360722,0.01867413,0.01140519,2009Q4,-1.80896640,-2.00779604,0.02490136,0.01788516
40,14069,450,0.03198522,0.01844777,0.01103112,2010Q1,-1.69672507,-1.97307784,0.02392130,0.01751189
41,13402,421,0.03141322,0.01650991,0.01062280,2010Q2,-1.94214999,-1.99899994,0.02610775,0.01833686
42,12745,256,0.02008631,0.01571622,0.01020192,2010Q3,-0.81634329,-1.32289122,0.01730191,0.01480818
43,12271,396,0.03227121,0.01593998,0.00978341,2010Q4,-2.11426621,-2.16819663,0.02773883,0.01893497
44,11651,329,0.02823792,0.01620461,0.00937006,2011Q1,-1.68395991,-2.00556334,0.02381191,0.01746986
45,11123,290,0.02607210,0.01443002,0.00900111,2011Q2,-1.76270170,-1.93176832,0.02449338,0.01773049
46,10694,262,0.02449972,0.01335276,0.00862392,2011Q3,-1.78958698,-1.89207497,0.02472978,0.01782023
47,10235,254,0.02481681,0.01335904,0.00818598,2011Q4,-1.82437617,-1.98922168,0.02503851,0.01793693
48,9812,230,0.02344068,0.01302456,0.00787302,2012Q1,-1.73068560,-1.95247045,0.02421435,0.01762412
49,9428,194,0.02057700,0.01070999,0.00761510,2012Q2,-1.87030103,-1.79058446,0.02545100,0.01809199
50,9068,183,0.02018086,0.00944739,0.00733988,2012Q3,-2.13003696,-1.81256829,0.02789244,0.01899060
51,8644,137,0.01584914,0.00880243,0.00708767,2012Q4,-1.66007218,-1.48511419,0.02360836,0.01739144
52,10108,164,0.01622477,0.00847616,0.00719358,2013Q1,-1.81385159,-1.49991353,0.02494477,0.01790156
53,9826,136,0.01384083,0.00700524,0.00701273,2013Q2,-1.86052625,-1.29426010,0.02536273,0.01805889
54,9513,90,0.00946074,0.00619882,0.00687155,2013Q3,-1.19678146,-0.76442617,0.01994083,0.01592901
55,9216,105,0.01139323,0.00595034,0.00683927,2013Q4,-1.75244350,-1.04064736,0.02440369,0.01769635
56,8836,58,0.00656406,0.00568830,0.00683554,2014Q1,-0.52398781,-0.25962860,0.01548223,0.01399359
57,8697,49,0.00563413,0.00528952,0.00678927,2014Q2,-0.33828121,-0.06163847,0.01441376,0.01349646
58,8472,77,0.00908876,0.00518492,0.00680618,2014Q3,-1.51457959,-0.72069975,0.02239991,0.01692030
59,8238,53,0.00643360,0.00520048,0.00687577,2014Q4,-0.68474745,-0.22377707,0.01646138,0.01443660
60,7996,43,0.00537769,0.00520439,0.00712604,2015Q1,-0.26891110,0.07002649,0.01403125,0.01331472
